Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
clack,18,8,0.43,9.38,3.54,0.44
clacker,19,12,0.08,9.33,3.73,0.63
clad,19,18,0.20,10.17,3.15,0.95
claim,19,19,25.39,9.05,3.29,1.00
claimer,22,19,0.02,13.05,3.67,0.86
clairaudient,20,8,0.04,16.12,5.87,0.40
clairsentience,19,4,0.02,15.00,2.16,0.21
clairvoyance,19,18,0.20,13.06,3.56,0.95
clairvoyant,19,18,0.71,12.33,2.97,0.95
clam,19,19,3.92,7.37,2.22,1.00
clambake,19,16,0.47,12.38,3.65,0.84
clamber,19,15,0.04,11.40,2.95,0.79
clammy,21,19,0.59,10.58,4.39,0.90
clamor,19,19,0.14,11.63,3.40,1.00
clamp,19,19,6.86,10.89,4.43,1.00
clampdown,20,16,0.04,13.00,3.61,0.80
clamshell,21,18,0.06,8.11,3.60,0.86
clan,19,19,4.10,11.05,2.17,1.00
clandestine,20,18,0.88,13.28,3.08,0.90
clang,19,17,0.84,9.53,3.74,0.89
clank,20,20,0.31,6.95,2.74,1.00
clannish,19,14,0.10,13.29,2.97,0.74
clansman,18,16,0.06,12.19,3.85,0.89
clap,20,20,4.73,3.40,1.73,1.00
clapboard,20,18,0.04,11.39,3.65,0.90
clapper,18,16,0.39,9.25,5.17,0.89
clapperboard,18,12,0.08,12.33,4.38,0.67
claptrap,18,10,0.27,12.40,3.34,0.56
claque,21,9,0.04,15.78,4.97,0.43
claret,20,6,0.29,15.67,5.57,0.30
clarification,18,18,0.59,12.06,2.75,1.00
clarifier,21,21,0.04,13.57,3.75,1.00
clarify,18,17,2.24,11.24,3.03,0.94
clarinet,18,18,1.57,9.22,3.19,1.00
clarion,18,6,0.29,15.50,1.64,0.33
clarity,20,20,2.10,10.55,3.97,1.00
clash,20,20,1.33,8.95,2.61,1.00
clasp,19,19,1.02,8.63,2.81,1.00
class,20,20,117.35,4.95,1.36,1.00
classic,19,19,16.16,8.42,2.32,1.00
classical,19,19,4.39,7.68,2.29,1.00
classicist,18,13,0.10,13.23,3.59,0.72
classics,22,22,2.20,9.04,3.16,1.00
classification,19,19,0.73,11.11,2.69,1.00
classified,19,19,6.76,11.58,3.15,1.00
classify,20,20,0.63,9.65,2.48,1.00
classis,19,9,0.02,14.11,3.22,0.47
classism,18,15,0.04,15.40,2.03,0.83
classist,18,15,0.02,15.80,2.62,0.83
classless,18,18,0.08,10.39,3.26,1.00
classmate,20,20,1.53,7.15,2.41,1.00
classroom,19,19,4.45,5.63,1.74,1.00
classy,19,19,5.76,10.32,4.20,1.00
clatter,20,19,0.71,8.74,2.98,0.95
clause,19,19,2.80,12.16,3.52,1.00
claustrophobia,18,18,0.45,10.28,2.16,1.00
claustrophobic,19,19,1.33,12.42,3.02,1.00
clavichord,19,9,0.02,12.33,2.12,0.47
clavicle,18,16,0.98,13.38,2.33,0.89
clavier,21,9,0.04,13.56,3.94,0.43
claw,20,20,4.37,4.70,2.20,1.00
clawless,20,18,0.04,8.28,2.16,0.90
claxon,18,9,0.14,12.11,4.31,0.50
clay,19,19,12.00,5.32,2.06,1.00
clean,18,18,121.24,3.89,1.49,1.00
cleaner,21,21,6.92,5.76,2.70,1.00
cleanliness,19,19,0.61,7.63,2.67,1.00
cleanness,19,18,0.04,6.56,2.62,0.95
cleanse,19,19,1.45,8.11,3.16,1.00
cleanser,18,18,0.43,8.22,3.15,1.00
cleansing,18,18,1.02,9.11,2.70,1.00
cleanup,18,18,1.96,5.06,2.46,1.00
clear,20,20,171.82,5.80,1.79,1.00
clearance,19,19,6.86,8.95,3.46,1.00
clearheaded,18,18,0.08,11.11,3.46,1.00
clearinghouse,19,18,0.16,12.50,4.69,0.95
clearness,20,20,0.06,8.25,3.40,1.00
clearway,19,16,0.10,13.94,4.86,0.84
cleat,19,17,0.43,9.00,2.69,0.89
cleavage,20,20,1.37,12.95,1.57,1.00
cleave,19,16,0.20,13.31,3.59,0.84
cleaver,18,17,1.33,8.94,2.82,0.94
clef,19,18,0.12,12.56,3.55,0.95
cleft,19,18,0.59,11.83,2.64,0.95
clemency,19,16,0.92,14.12,4.43,0.84
clench,19,19,0.39,9.89,3.70,1.00
clergy,1929,1900,0.94,10.15,3.57,0.98
clergyman,18,18,0.33,9.72,3.14,1.00
cleric,18,18,1.33,11.89,3.89,1.00
clerical,19,19,0.98,10.79,3.12,1.00
clerk,19,19,12.90,6.74,2.60,1.00
clerkship,20,17,0.14,14.12,4.14,0.85
clever,18,18,27.27,7.50,1.95,1.00
cleverness,20,20,0.51,7.75,2.95,1.00
clevis,19,3,0.02,13.67,1.53,0.16
clew,38,10,0.10,16.20,2.97,0.26
cliche,21,20,0.80,12.13,3.38,0.95
click,18,18,6.41,6.94,2.60,1.00
clicker,21,19,0.41,6.89,4.51,0.90
client,20,20,53.24,12.05,3.30,1.00
clientele,18,17,1.57,14.12,3.02,0.94
cliff,20,20,21.57,7.28,1.51,1.00
cliffhanger,19,18,0.25,9.61,3.09,0.95
climactic,18,17,0.22,13.24,4.12,0.94
climate,19,19,3.53,7.95,2.76,1.00
climatic,19,18,0.14,10.22,2.32,0.95
climax,19,19,1.94,10.79,2.04,1.00
climb,20,20,19.75,5.30,2.05,1.00
climbable,20,20,0.02,8.35,1.87,1.00
climber,19,19,0.78,8.05,2.27,1.00
clime,19,15,0.12,13.67,5.08,0.79
clinch,19,18,0.67,10.94,4.32,0.95
clincher,18,16,0.33,10.12,3.69,0.89
cling,19,19,2.51,7.74,3.38,1.00
clinger,18,17,0.08,10.47,2.90,0.94
clingy,18,18,0.59,7.28,3.29,1.00
clinic,19,19,14.00,9.37,3.27,1.00
clinical,19,19,2.92,11.84,3.08,1.00
clinician,19,17,0.06,13.35,3.33,0.89
clink,20,18,1.29,9.44,4.44,0.90
clinker,18,14,0.22,11.43,2.53,0.78
clip,18,18,5.69,6.61,2.62,1.00
clipboard,21,21,0.75,7.76,1.95,1.00
clipper,18,18,1.16,9.56,3.15,1.00
clipping,20,19,1.16,8.89,2.60,0.95
clique,19,19,0.76,12.42,2.32,1.00
cliquey,18,16,0.06,12.50,2.16,0.89
clitoral,19,15,0.14,15.20,2.78,0.79
clitoris,21,20,1.06,14.00,3.88,0.95
cloak,19,19,3.00,6.95,2.41,1.00
cloaking,20,19,0.82,9.68,3.00,0.95
cloakroom,19,17,0.65,9.35,4.58,0.89
clobber,18,17,0.59,8.53,2.94,0.94
clock,19,19,58.63,4.42,1.46,1.00
clockmaker,19,19,0.02,8.74,2.73,1.00
clockwork,19,19,1.14,8.79,2.70,1.00
clod,22,17,0.41,10.59,3.50,0.77
clodhopper,22,16,0.02,12.94,3.82,0.73
clodpoll,18,5,0.02,16.00,3.39,0.28
clog,18,18,0.80,9.39,3.33,1.00
cloggy,19,14,0.02,10.36,4.09,0.74
cloisonne,20,6,0.02,16.50,4.59,0.30
cloister,21,14,0.51,14.71,3.00,0.67
cloistered,18,12,0.18,11.67,4.38,0.67
clone,18,18,2.51,8.89,3.32,1.00
cloning,20,20,1.12,14.20,4.76,1.00
clop,19,16,0.08,9.19,3.69,0.84
close,20,20,219.43,4.50,1.82,1.00
closeness,19,19,0.71,7.32,2.31,1.00
closet,19,19,27.08,5.00,1.80,1.00
closetful,18,16,0.06,9.75,4.28,0.89
closeup,18,18,0.12,8.00,2.20,1.00
closure,19,19,3.10,12.11,4.48,1.00
clot,20,20,1.80,11.05,3.66,1.00
cloth,20,20,6.10,5.30,1.13,1.00
clothe,18,18,0.82,8.83,2.73,1.00
clothes,18,18,101.14,3.11,1.41,1.00
clotheshorse,18,9,0.04,15.33,2.78,0.50
clothesline,21,21,0.41,6.67,2.99,1.00
clothespin,20,18,0.29,7.83,4.12,0.90
clothier,19,14,0.04,14.71,4.43,0.74
clothing,18,18,10.84,4.22,1.93,1.00
cloud,19,19,11.75,3.63,1.57,1.00
cloudburst,20,14,0.04,14.29,5.33,0.70
cloudiness,19,19,0.08,8.37,3.13,1.00
cloudless,20,20,0.16,7.60,2.28,1.00
cloudlike,20,20,0.02,9.60,3.82,1.00
cloudy,18,18,2.16,5.50,1.47,1.00
clout,18,14,0.94,16.86,2.91,0.78
clove,18,17,0.51,10.88,3.00,0.94
cloven,19,16,0.14,11.56,3.52,0.84
clover,19,19,1.31,5.74,2.47,1.00
cloverleaf,18,17,0.20,6.35,2.03,0.94
clown,18,18,15.82,3.72,1.93,1.00
clownish,19,19,0.04,8.84,3.53,1.00
clownishness,19,18,0.02,9.50,4.11,0.95
cloy,19,8,0.04,14.50,4.17,0.42
cloying,18,9,0.04,14.56,5.13,0.50
club,19,19,98.78,5.89,2.56,1.00
clubby,18,12,0.10,13.17,3.49,0.67
clubfoot,18,18,0.18,11.17,2.90,1.00
clubhouse,18,18,1.61,7.44,2.01,1.00
clubwoman,18,13,0.06,13.62,3.88,0.72
cluck,19,18,1.43,5.22,2.13,0.95
clue,18,18,17.61,6.06,2.15,1.00
clueless,21,21,1.84,7.71,2.49,1.00
clump,21,21,0.53,8.62,3.04,1.00
clumpy,22,22,0.29,7.32,3.29,1.00
clumsiness,18,18,0.29,8.22,2.10,1.00
clumsy,19,19,5.39,7.26,3.94,1.00
clunk,20,18,0.63,8.22,3.52,0.90
clunker,19,19,0.20,9.37,3.06,1.00
clunky,19,18,0.35,8.22,2.90,0.95
cluster,19,19,1.31,10.00,2.62,1.00
clutch,21,21,2.49,10.24,2.43,1.00
clutter,18,18,0.94,8.33,3.12,1.00
coach,19,19,47.63,6.89,2.00,1.00
coachman,19,18,0.59,11.39,5.33,0.95
coadjutor,21,4,#N/A,17.50,2.38,0.19
coagulant,19,17,0.06,14.18,3.80,0.89
coagulate,19,19,0.12,13.95,3.01,1.00
coagulation,19,17,0.12,14.00,3.02,0.89
coagulator,19,16,0.02,16.38,4.38,0.84
coal,20,20,6.57,6.65,2.23,1.00
coalesce,19,18,0.06,16.22,3.70,0.95
coalescence,19,11,0.04,16.00,2.41,0.58
coalition,18,18,1.80,13.94,2.65,1.00
coalmine,20,18,0.06,10.33,3.03,0.90
coarse,19,18,1.35,9.11,2.68,0.95
coarseness,18,18,0.02,11.56,2.87,1.00
coast,21,21,26.69,6.43,1.91,1.00
coastal,18,18,0.84,8.11,2.27,1.00
coaster,19,19,3.12,7.89,3.23,1.00
coastguard,18,18,0.25,9.39,3.57,1.00
coastline,18,18,0.71,9.00,4.78,1.00
coastwise,20,11,0.02,13.73,2.33,0.55
coat,19,19,42.08,3.58,1.22,1.00
coathanger,21,20,#N/A,5.36,1.30,0.95
coating,19,18,0.45,8.56,2.15,0.95
coatroom,18,18,0.31,8.56,3.54,1.00
coattail,20,20,0.06,10.80,3.00,1.00
coauthor,20,20,0.10,10.65,3.59,1.00
coax,19,19,0.80,11.47,2.44,1.00
coaxial,21,15,0.14,14.87,5.24,0.71
cob,22,22,0.69,6.52,2.11,1.00
cobalt,19,19,0.59,13.47,3.78,1.00
cobber,19,10,0.04,10.40,4.06,0.53
cobble,18,16,0.10,10.00,4.41,0.89
cobbler,18,18,2.33,9.00,3.50,1.00
cobblestone,18,16,0.16,10.50,4.79,0.89
cobra,19,19,3.33,7.47,2.52,1.00
cobweb,18,18,0.20,7.50,4.09,1.00
cocaine,19,19,8.25,12.16,2.43,1.00
coccyx,18,14,0.14,14.14,2.77,0.78
cochineal,18,13,0.18,13.92,3.52,0.72
cochlear,20,14,0.16,15.14,1.88,0.70
cock,19,19,11.37,11.32,3.45,1.00
cockade,21,3,#N/A,13.00,1.00,0.14
cockalorum,20,6,0.02,15.17,3.60,0.30
cockamamie,18,17,0.65,12.29,3.26,0.94
cockatiel,20,20,0.04,10.45,5.98,1.00
cockatoo,19,18,0.16,9.44,2.45,0.95
cockatrice,22,7,0.02,13.00,4.04,0.32
cockcrow,18,7,0.02,10.86,2.79,0.39
cocker,19,11,0.82,11.00,3.97,0.58
cockerel,19,10,0.12,12.60,5.34,0.53
cockeyed,20,18,1.51,10.00,3.53,0.90
cockfight,19,19,0.18,12.42,5.56,1.00
cockhorse,20,7,0.04,14.14,4.56,0.35
cockiness,18,17,0.06,11.12,2.29,0.94
cockle,20,13,0.08,14.15,4.69,0.65
cockney,19,16,0.35,15.62,4.77,0.84
cockpit,19,19,3.22,8.74,2.26,1.00
cockroach,20,20,3.41,6.25,2.43,1.00
cocksucker,19,19,8.14,12.42,2.89,1.00
cocksure,18,13,0.18,13.62,3.64,0.72
cocktail,19,19,10.88,9.53,3.17,1.00
cocky,18,18,4.12,10.50,3.62,1.00
cocoa,19,19,5.02,6.84,3.83,1.00
coconspirator,19,18,0.12,14.00,2.85,0.95
coconut,18,18,4.59,6.50,1.82,1.00
cocoon,20,20,1.12,8.95,3.83,1.00
cod,21,20,2.24,11.50,4.14,0.95
coda,22,14,0.14,13.00,4.17,0.64
coddle,18,18,0.35,12.89,3.79,1.00
code,20,19,53.12,8.11,2.79,0.95
codebook,22,22,0.20,11.23,3.38,1.00
codefendant,18,18,0.06,14.56,3.26,1.00
codeine,21,17,0.45,16.47,5.00,0.81
codependency,19,19,0.04,13.42,3.55,1.00
codependent,18,18,0.16,14.56,3.67,1.00
coder,21,18,0.12,12.61,3.48,0.86
codeword,19,18,0.18,10.28,3.21,0.95
codex,18,14,0.33,14.50,3.55,0.78
codfish,18,14,0.41,9.71,3.22,0.78
codger,19,13,0.20,11.92,5.79,0.68
codices,20,6,#N/A,14.67,1.51,0.30
codicil,19,8,0.10,18.00,2.67,0.42
codify,20,17,0.02,16.65,3.53,0.85
coding,20,19,0.73,11.84,4.45,0.95
codling,18,13,0.04,11.69,4.99,0.72
codpiece,18,9,0.25,13.22,4.35,0.50
codswallop,19,8,0.08,13.88,3.83,0.42
coed,20,20,0.59,12.10,3.01,1.00
coeducational,18,17,0.04,13.24,3.77,0.94
coefficient,19,19,0.16,13.42,2.93,1.00
coelacanth,20,9,0.04,15.33,3.54,0.45
coenzyme,18,14,0.04,14.36,2.44,0.78
coequal,19,11,#N/A,14.91,3.27,0.58
coequality,20,16,#N/A,15.06,3.49,0.80
coerce,18,17,0.41,12.59,3.48,0.94
coercion,21,17,0.43,12.12,3.33,0.81
coercive,20,18,0.14,14.06,4.17,0.90
coexist,18,18,0.49,11.56,4.02,1.00
coexistence,19,18,0.20,12.78,3.25,0.95
coffee,18,18,144.53,4.94,1.73,1.00
coffeehouse,18,18,0.69,10.11,4.47,1.00
coffeemaker,18,18,0.37,7.78,1.99,1.00
coffeepot,19,19,0.41,5.53,2.52,1.00
coffer,18,13,0.10,12.08,3.93,0.72
cofferdam,19,7,0.02,14.43,1.72,0.37
coffin,19,19,9.04,7.79,2.51,1.00
coffle,19,11,0.04,14.09,2.81,0.58
cofounder,20,20,0.08,11.30,2.47,1.00
cog,18,18,0.53,11.33,3.65,1.00
cogent,19,12,0.22,14.08,4.68,0.63
cogitate,19,14,0.06,14.86,2.18,0.74
cogitation,19,12,0.02,13.92,2.78,0.63
cogito,19,5,0.04,17.60,1.82,0.26
cognac,20,19,2.65,14.16,4.14,0.95
cognition,19,18,0.02,15.22,3.62,0.95
cognitive,19,19,0.67,13.63,2.89,1.00
cognizance,19,17,0.02,15.29,3.62,0.89
cognizant,18,17,0.22,12.18,4.10,0.94
cognomen,19,5,0.02,13.20,4.32,0.26
cogwheel,18,13,0.04,12.15,2.85,0.72
cohabitate,18,17,0.04,14.65,2.45,0.94
cohabitation,18,17,0.04,12.82,2.24,0.94
coherence,20,20,0.18,11.60,4.01,1.00
coherency,18,17,0.02,14.35,2.37,0.94
coherent,19,19,1.04,11.95,2.68,1.00
cohesion,18,17,0.10,13.71,3.62,0.94
cohesive,18,16,0.14,12.25,1.95,0.89
cohort,21,19,0.20,15.21,3.57,0.90
coif,18,15,0.06,16.00,3.02,0.83
coiffeur,18,15,0.04,13.67,3.75,0.83
coiffure,18,13,0.10,13.69,4.71,0.72
coil,21,21,1.61,9.67,3.60,1.00
coin,18,18,9.75,4.17,1.25,1.00
coinage,19,16,0.06,10.62,3.26,0.84
coincide,20,19,0.78,11.11,3.18,0.95
coincidence,19,19,18.59,9.95,3.42,1.00
coincident,21,18,0.20,11.17,2.57,0.86
coincidental,18,18,0.82,10.94,2.51,1.00
coital,19,14,0.10,15.93,3.10,0.74
coitus,21,17,0.24,15.35,2.80,0.81
coke,19,19,18.59,4.74,1.76,1.00
cola,18,18,5.53,4.33,1.97,1.00
colander,21,17,0.12,9.00,4.53,0.81
cold,20,20,130.16,3.95,1.79,1.00
coldblooded,19,19,0.06,8.95,2.66,1.00
coldhearted,18,18,0.10,9.72,3.08,1.00
coldness,18,18,0.33,6.89,1.84,1.00
coleslaw,18,18,1.24,6.72,2.16,1.00
coleus,20,7,0.02,14.00,2.83,0.35
colic,21,17,0.51,13.06,6.07,0.81
colicky,18,14,0.08,15.00,5.22,0.78
coliseum,20,20,0.86,11.90,3.35,1.00
colitis,19,12,0.18,17.00,4.20,0.63
collaborate,19,19,0.61,11.84,3.50,1.00
collaboration,18,18,1.14,10.61,3.82,1.00
collaborationist,22,18,0.02,14.28,4.08,0.82
collaborative,21,21,0.14,12.33,2.76,1.00
collaborator,19,19,0.63,11.63,3.39,1.00
collage,18,18,0.73,8.33,2.11,1.00
collagen,18,18,0.76,14.67,3.50,1.00
collapse,18,18,5.55,9.17,3.40,1.00
collapsible,19,19,0.25,11.26,4.95,1.00
collar,18,18,10.51,6.56,1.85,1.00
collarbone,18,18,0.82,8.89,3.14,1.00
collard,18,14,0.33,12.43,3.76,0.78
collarless,20,18,0.02,11.33,3.74,0.90
collate,19,16,0.31,15.06,4.81,0.84
collateral,19,19,3.39,13.63,2.83,1.00
collation,20,16,0.06,13.69,4.16,0.80
colleague,19,19,6.78,12.42,3.63,1.00
collect,18,18,20.00,5.61,1.79,1.00
collectable,19,19,0.06,8.11,4.43,1.00
collectible,19,19,0.20,8.32,2.98,1.00
collection,19,19,18.16,7.21,1.81,1.00
collective,21,21,2.39,9.81,3.03,1.00
collector,18,18,4.31,8.00,3.22,1.00
college,19,19,85.18,8.37,2.39,1.00
collegial,18,15,0.02,16.33,3.96,0.83
collegian,22,16,0.02,14.44,2.00,0.73
collegiate,21,20,0.49,13.30,3.18,0.95
collide,19,19,0.92,9.79,3.77,1.00
collie,20,20,1.04,7.05,2.37,1.00
colliery,20,5,0.16,15.80,3.42,0.25
collision,21,21,2.69,9.05,2.09,1.00
collodion,21,1,0.06,19.00,NA,0.05
colloquial,18,12,0.06,13.92,5.21,0.67
colloquialism,19,17,0.06,14.76,4.19,0.89
colloquium,18,14,0.02,14.14,2.57,0.78
colloquy,19,12,0.02,13.92,3.82,0.63
collude,21,12,0.18,14.33,3.75,0.57
collusion,18,17,0.29,11.41,3.52,0.94
collywobbles,18,6,0.04,12.17,4.07,0.33
cologne,19,19,3.16,8.26,2.98,1.00
colon,20,20,2.53,10.75,3.71,1.00
colonel,1922,1890,96.25,9.62,2.94,0.98
colonial,21,21,2.06,8.76,2.91,1.00
colonialism,19,19,0.33,12.32,2.85,1.00
colonialist,20,19,0.04,10.16,3.80,0.95
colonic,20,17,0.47,14.00,4.82,0.85
colonist,19,19,0.06,10.74,2.47,1.00
colonization,19,18,0.24,9.83,2.46,0.95
colonize,18,18,0.25,9.72,2.30,1.00
colonizer,19,19,0.02,9.84,3.61,1.00
colonoscopy,18,17,0.47,15.76,4.19,0.94
colony,19,19,5.92,8.21,1.75,1.00
colophon,20,11,0.02,13.91,5.72,0.55
color,18,18,39.43,4.00,2.87,1.00
colorable,20,17,0.08,8.06,4.37,0.85
coloration,18,17,0.20,11.18,4.29,0.94
coloratura,18,7,0.04,14.86,3.34,0.39
colorblind,19,19,0.33,9.74,3.18,1.00
colored,19,19,7.39,5.95,5.13,1.00
colorfast,20,15,0.02,13.33,4.19,0.75
colorful,18,18,3.20,4.89,2.22,1.00
coloring,18,18,1.80,3.50,1.25,1.00
colorist,19,17,0.14,12.65,4.46,0.89
colorize,18,17,0.02,11.94,4.71,0.94
colorless,21,21,0.25,6.81,3.12,1.00
colossal,20,19,1.41,9.00,3.13,0.95
colossus,19,18,0.24,11.50,2.81,0.95
colostomy,18,16,0.25,16.94,3.32,0.89
colporteur,20,2,#N/A,13.50,2.12,0.10
colt,22,20,5.24,8.98,2.56,0.91
coltish,20,16,0.02,14.31,4.78,0.80
column,18,18,10.96,7.56,1.79,1.00
columnist,20,20,1.00,10.85,2.13,1.00
com,19,11,34.31,15.27,5.35,0.58
coma,18,18,12.27,10.83,3.29,1.00
comatose,19,17,0.98,14.24,3.70,0.89
comb,18,18,6.06,5.50,2.20,1.00
combat,18,18,13.84,10.33,2.50,1.00
combatant,19,18,0.20,11.89,2.99,0.95
combative,19,19,0.53,11.74,2.75,1.00
combativeness,19,19,0.02,12.11,3.56,1.00
combination,19,19,11.98,8.42,2.97,1.00
combine,19,19,2.22,7.47,2.57,1.00
combo,18,18,2.45,8.78,3.28,1.00
combust,18,18,0.16,10.61,2.75,1.00
combustible,20,19,0.35,10.89,2.13,0.95
combustion,19,19,1.25,11.42,3.27,1.00
come,19,19,3140.98,3.32,1.42,1.00
comeback,20,20,3.33,9.80,3.56,1.00
comedian,18,18,4.10,8.89,2.25,1.00
comedic,18,18,0.12,10.94,4.08,1.00
comedienne,18,11,0.12,11.09,3.56,0.61
comedown,19,16,0.12,9.44,5.25,0.84
comedy,19,19,11.80,8.11,2.94,1.00
comely,18,8,0.37,12.50,2.67,0.44
comer,18,12,0.37,9.83,2.98,0.67
comestible,20,3,#N/A,15.33,1.53,0.15
comet,19,19,3.08,8.16,2.43,1.00
comeuppance,18,14,0.18,14.43,4.33,0.78
comfit,21,5,0.06,14.80,3.49,0.24
comfort,21,21,17.22,7.29,3.00,1.00
comfortable,18,18,47.22,7.17,3.55,1.00
comforter,18,18,0.39,8.61,3.09,1.00
comforting,18,18,4.35,8.67,3.41,1.00
comfortless,19,19,0.04,9.89,3.00,1.00
comfrey,19,5,0.02,17.20,4.60,0.26
comfy,19,18,2.25,6.06,2.78,0.95
comic,20,20,10.82,7.00,1.62,1.00
comical,19,19,0.82,9.42,2.91,1.00
comics,19,19,4.33,5.89,1.79,1.00
comida,18,9,0.12,15.56,3.17,0.50
coming,22,22,527.02,4.77,1.41,1.00
comma,19,19,0.98,7.47,1.78,1.00
command,18,18,43.63,8.67,2.22,1.00
commandant,18,18,2.57,11.72,4.52,1.00
commandeer,18,16,0.55,11.88,3.44,0.89
commander,21,21,37.00,8.19,3.11,1.00
commanding,20,20,6.90,12.85,2.54,1.00
commandment,19,19,1.63,7.58,1.89,1.00
commando,19,19,1.06,11.32,3.62,1.00
commemorate,20,19,0.92,12.00,3.57,0.95
commemoration,21,20,0.10,14.00,2.92,0.95
commemorative,18,17,0.41,10.24,2.68,0.94
commence,19,19,4.61,11.37,3.79,1.00
commencement,18,18,0.29,11.50,3.38,1.00
commend,21,21,1.78,10.81,3.67,1.00
commendable,19,19,0.86,10.32,3.25,1.00
commendation,19,18,0.90,12.39,1.75,0.95
commendatory,19,17,0.02,11.71,2.05,0.89
commensurate,20,16,0.16,13.69,2.39,0.80
comment,19,19,12.82,8.84,2.87,1.00
commentary,18,18,1.49,11.89,3.79,1.00
commentate,19,17,0.02,11.94,5.03,0.89
commentator,19,19,2.73,10.84,2.79,1.00
commerce,18,18,3.47,13.44,2.33,1.00
commercial,18,18,16.25,6.17,1.65,1.00
commercialism,20,20,0.18,13.95,3.49,1.00
commercialization,20,20,0.08,14.65,2.91,1.00
commercialize,19,19,0.06,14.05,4.38,1.00
commie,19,16,1.65,12.69,3.11,0.84
commingle,18,15,0.04,13.60,2.53,0.83
comminuted,18,7,0.10,15.86,2.73,0.39
commiserate,18,12,0.18,13.00,2.22,0.67
commissar,19,13,0.92,13.62,3.57,0.68
commissariat,18,10,0.06,17.20,3.29,0.56
commissary,18,17,0.57,13.65,3.55,0.94
commission,18,18,13.78,14.72,3.71,1.00
commissioner,19,19,12.24,13.37,3.27,1.00
commit,18,18,19.29,10.06,2.51,1.00
commitment,18,18,10.78,9.33,2.72,1.00
committable,18,18,0.04,13.56,3.52,1.00
committal,19,18,0.14,12.94,2.84,0.95
committee,18,18,22.02,9.83,2.26,1.00
committeewoman,18,16,0.04,13.75,2.93,0.89
commode,18,16,0.29,10.56,2.83,0.89
commodious,19,16,0.02,14.56,4.52,0.84
commodity,19,19,1.65,13.53,3.26,1.00
commodore,21,18,3.61,11.56,3.58,0.86
common,18,18,44.61,6.94,2.62,1.00
commonality,20,19,0.12,13.21,2.59,0.95
commoner,18,18,0.71,8.56,2.36,1.00
commonness,19,18,0.02,12.00,4.86,0.95
commonplace,18,18,0.78,10.17,2.53,1.00
commonsense,19,19,0.06,9.00,2.16,1.00
commonwealth,18,18,6.67,11.94,3.32,1.00
commotion,21,21,2.08,9.62,2.58,1.00
communal,18,18,0.65,12.33,3.71,1.00
communalist,19,16,0.02,15.12,2.66,0.84
commune,21,20,1.31,12.05,4.05,0.95
communicability,18,17,0.02,12.59,3.68,0.94
communicable,19,18,0.24,12.39,3.71,0.95
communicate,19,19,8.51,7.63,2.61,1.00
communication,19,19,10.35,8.47,1.87,1.00
communicational,19,18,0.02,13.72,4.07,0.95
communicative,20,20,0.12,10.25,2.97,1.00
communicator,19,19,0.71,9.68,3.25,1.00
communion,20,20,2.08,8.15,3.22,1.00
communique,19,10,0.16,14.30,3.62,0.53
communism,19,19,2.10,11.74,3.18,1.00
communist,18,18,7.57,13.22,1.83,1.00
communistic,19,19,0.08,13.79,3.10,1.00
community,18,18,29.14,7.28,1.32,1.00
commutable,19,18,0.02,12.72,3.51,0.95
commutation,19,11,0.04,11.82,4.09,0.58
commutator,18,10,0.02,13.60,2.99,0.56
commute,18,18,0.88,9.33,2.95,1.00
commuter,20,20,0.59,12.45,3.32,1.00
comp,18,15,1.67,16.47,4.32,0.83
compact,19,19,1.69,10.79,3.57,1.00
compacted,19,19,0.06,11.00,3.14,1.00
compactor,18,18,0.16,11.00,2.81,1.00
companion,19,19,6.33,9.58,2.48,1.00
companionable,18,16,0.08,12.12,3.20,0.89
companionship,18,18,1.88,10.83,3.57,1.00
companionway,18,12,0.08,12.58,3.60,0.67
company,19,19,147.20,6.84,2.36,1.00
comparable,19,19,0.47,9.37,2.19,1.00
comparative,18,18,0.80,11.94,2.15,1.00
compare,21,21,8.35,8.57,2.38,1.00
comparison,22,22,3.67,9.27,3.13,1.00
compartment,18,18,5.96,8.44,3.17,1.00
compartmentalization,19,19,0.04,13.11,3.73,1.00
compartmentalize,19,18,0.22,14.94,4.09,0.95
compass,18,18,4.06,8.44,2.38,1.00
compassion,21,21,6.25,9.05,4.65,1.00
compassionate,19,19,1.78,11.74,3.09,1.00
compatibility,18,18,0.45,10.72,4.39,1.00
compatible,19,19,2.35,10.16,2.24,1.00
compatriot,19,16,0.08,12.44,5.43,0.84
compeer,21,0,#N/A,NA,NA,0.00
compel,18,18,1.02,12.61,3.74,1.00
compelling,18,18,1.90,9.06,3.00,1.00
compendium,18,14,0.24,12.57,3.46,0.78
compensate,20,20,2.43,11.60,3.75,1.00
compensation,20,20,2.14,11.80,3.64,1.00
compensator,19,19,0.06,13.37,2.95,1.00
compensatory,20,17,0.22,14.18,3.68,0.85
compete,18,18,8.47,6.94,2.13,1.00
competence,19,19,0.88,12.58,3.11,1.00
competency,19,19,0.24,10.95,2.86,1.00
competent,20,20,2.43,11.75,4.40,1.00
competition,20,20,20.90,7.85,3.08,1.00
competitive,18,18,4.20,9.06,2.15,1.00
competitiveness,19,19,0.14,10.37,3.76,1.00
competitor,18,18,1.37,9.06,2.78,1.00
compilation,18,16,0.27,13.56,3.05,0.89
compile,19,19,0.53,10.79,2.10,1.00
compiler,18,18,0.14,12.56,3.85,1.00
